id,sentence
2,오늘도 하루가 어찌 지나갔는지 도통 모르겠네여.
3,새벽에 일어나니 곤히 자고 있던 하비니 공동현관 비번이 없는 구린 아파트에 사는 전 새벽배송 받으러 밖으로 나갑니다
4,진상이지만 공동현관 앞에 놓아달라고 합니다
5,사람들이 많이 오가는 시간이 되기 전에 항시 6시즈음에 찾으러가는 나는야 부지런한 워킹맘 이것 때문에 미니 카트도 구입했습니다
6,마켓컬리 장바구니 상온식품으로는 항시 시키는 컬리 통밀식빵 그래놀라하우스 오리지날의 품절로 카카오 뭐시깽이를 시켰습니다
7,맛있더군요 모두에게 추천하고 다닌 오뗄두스 사브레 얼그레이 냉동식품으로는 숭의가든 한돈 목살 양념구이 세일할 때 사야 이득이지만 세일을 도통 안해서 정가구매 그리고 석관동 떡볶이 유툽잇님 샤나님의 단골 메뉴로 컬리에 있길래 저도 시켜보았어요 냉장식품 너무 많네요
8,훈제오리와 이렇게 작을 줄 몰랐음 연세우유는 처음 시켜봤어요
9,연세우유는 저렴해서 사봤습니다
10,그 컬리 전용 보라색 우유로 요거트를 만들었을 때 무척 맛있었기 때문에 또 시켜볼까 했지만 연세우유가 처넌이나 저렴해서 궁금해서 구매 쿠팡후레시 시키는 일 거의 없지만 아마 결혼 후 두번째 컬리에서 사먹었던 낙지젓갈이 너무 맛있는데
11,가성비가 후져서 쿠팡에 후기가 4천개가 넘는 낙지젓을 구매해봤어요
12,사고보니 중국 이네요 우수수입업소인증은 받아서 그래도 안심하고 먹어보겠어요
13,그거 받기 나름 까다롭거든여 식품업계 종사중 꿀 퍼먹는 큰 딸에게 애비님이 보내주신 꿀 꿀 너무나 강려크한 꿀 패키징에 웃었네요
14,너무 거대해서 소분해줍니다
15,암튼 피클통에 소분했어요
16,꿀이 너무 묽어서 구린꿀인가 맛없으면 어쩔 했는데 제가 좋아하는 꿀맛이었어요
17,꿀 소분하고 방에서 무슨 소리가 들려 문을 열었더니 너무나 소름이요 도대체 우리 하비니 타이니모빌 어떻게 켠거에요
18,노랫소리가 들리고 있어서 너무 놀랐어요
19,그리고 몸은 또 언제 저렇게 돌아간건지!!!
20,침대 고르다 머리 깨질 뻔요 아기는 인났으니 거실로 나와요
21,수제 요거트와 그래놀라 하우스의 뉴 그래놀라 그리고 애비님의 왕꿀 너무 맛있었어요
22,부담스러운 아기의 시선을 느끼며 먹습니다
23,노으루가 줬던 아기 덧신 한짝이 자쿠만 탈출 자꾸 부담시럽게 쳐다봐서 또 식탁앞으로 오신 분 졸려하는 듯 해서 재워줍니다
24,하지만 말똥 맛있을까?
25,하고 만들었던 당근라페샌드위치 계란찜기를 활용하여 계란샐러드도 만들어서 넣어줬어요
26,너무 맛있던데요????
27,을 외칠 줄 알았던 남표니도 아주 맛있다며 먹어줬어요
28,하나만들고 만족하며 한개 더 추가합니다 감성칼로 바꾸고 싶네요
29,울 아기 양말한짝은 또 어디에 죠기 있네요 머리부터 발끝까지 할미템으로 치장한 하비니.
30,내일은 하비니의 유아세례날이라 오늘 최종 문답을 하러 교회에 잠시 다녀왔어요 바구니 카시트도 이제 졸업하려구요
31,차안에서 뭔가 잔뜩 긴장해있던 하비니 마스크를 씌워야하나 구매까지 했지만 받고보니 생각보다 두꺼워서 하비니에겐 무리일 것 같아 방풍커버로 보호해봅니다
32,유모차에서 잠들었었는데 카시트로 옮기다가 깼어요 창밖 세상 구경하는 하비니 너무 귀여워요 뒹굴아기 아기가 쉬는 동안 엄빠는 간단하게 점심을 만들어요
33,석관동 떡볶이와 한개 남아있던 진 비빔면 그리고 열무김치 석관동 떡볶이 너무 맛있었어요
34,우리 하비니 발 좀 자란 것 같지 않나요?
35,몇주전에 사뒀던 콜드브루 이제야 마셔요
36,사실 회사에 가져가려고 했었는데 자쿠만 까먹어서 집에서 까네요
37,네고왕에 이삭토스트가 나오는 바람에 배도 안고프지만 간단한 토스트를 해서 함께 먹어요
38,울 하비니는 점퍼루에서 자태를 뽐내고 있네요
39,앞에 보이는 컬리 박스는 친구에게 보낼 미역박스에요
40,오늘에서야 드디어 보냈네요....
41,체육관에서도 놀아드려요
42,에듀테이블에서 열공도 해봅니다
43,열공하는 척 하더니 다른곳에 관심이 가는 아기네요
44,옆에 있던 아기체육관을 거슬려해서 옆에 갖다줬어요
45,이렇게 쥐어 뜯어 먹을 줄은 모르고 갖다줌요 눈빛이 매섭네요
46,오랜만에 역방쿠 꺼냈어요 아기는 열심이 또 쥐어뜯습니다 흥분한 아기 엄마는 또 과자를 때리는데 아기의 시선이 심장을 때리네요
47,하비니 침대 두려고 사이즈 측정 이 지겨운 사이즈 측정 이런거 필요없는 큰 집에 살아보고 싶네요
48,현생에 가능한가요?
49,피곤하면 들어가서 자라고 그렇게 말했는데 버티는 아비 하비니만 당하고 있네요
50,결국 아기와 함께 뻗으심 진절머리 나는 하비니 새 잠자리 드디어 구매했구요
51,의자에 카시트에 벌써 100을 넘겨서 침대는 3개월 무이자 할부를 이용했습니다
52,이틀 전에 샀으면 세일이었는데.
