en_sentence,ko_sentence,emotion
i didnt feel humiliated,나는 굴욕감을 느끼지 않았다.,sadness
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,나는 걱정해주고 깨어있는 사람 곁에 있는 것만으로도 너무 절망적인 느낌에서 빌어먹을 희망으로 갈 수 있다.,sadness
im grabbing a minute to post i feel greedy wrong,나는 게시할 시간을 잡고 있다. 나는 욕심이 틀렸다고 느낀다.,anger
i am ever feeling nostalgic about the fireplace i will know that it is still on the property,나는 벽난로에 대해 향수를 느낀 적이 있다. 나는 그것이 여전히 그 건물에 있다는 것을 알 것이다.,love
i am feeling grouchy,기분이 언짢다.,anger
ive been feeling a little burdened lately wasnt sure why that was,나는 최근에 약간 부담감을 느꼈고 왜 그랬는지 확신할 수 없었다.,sadness
ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,나는 권장량 또는 몇 밀리그램 또는 몇 배의 양을 먹고 있었고 훨씬 더 빨리 잠들었지만 나는 또한 너무 웃기게 느껴진다.,surprise
i feel as confused about life as a teenager or as jaded as a year old man,나는 10대처럼 인생에 대해 혼란스럽거나 1살처럼 지쳤다.,fear
i have been with petronas for years i feel that petronas has performed well and made a huge profit,나는 페트로나스와 몇 년 동안 함께 해왔는데 페트로나스가 좋은 성과를 내고 큰 이익을 냈다고 느낀다.,joy
i feel romantic too,나도 로맨틱해.,love
i feel like i have to make the suffering i m seeing mean something,나는 내가 보는 고통을 의미 있게 만들어야 한다고 느낀다.,sadness
i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,나는 달리기가 신성한 경험이고 어떤 종류의 영적인 만남을 기대할 수 있다고 느낀다.,joy
i think it s the easiest time of year to feel dissatisfied,1년 중 불만을 느끼기 가장 쉬운 시기라고 생각한다.,anger
i feel low energy i m just thirsty,나는 에너지가 부족하다고 느낀다. 나는 그냥 목이 마르다.,sadness
i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,"나는 일반적인 요점에 매우 공감하지만, 출판 계약은커녕 대리인의 흔적도 없이 삶의 구석에서 글을 쓸 시간을 찾으려는 프로토 작가로서 이것은 조금 소중하게 느껴진다.",joy
i do not feel reassured anxiety is on each side,나는 양쪽에 불안이 있다고 안심하지 않는다.,joy
i didnt really feel that embarrassed,나는 그렇게 당황하지 않았다.,sadness
i feel pretty pathetic most of the time,나는 대부분의 시간을 꽤 한심하게 느낀다.,sadness
i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,나는 내가 어렸을 때 가지고 있던 인형에 대해 감상적인 감정을 느끼기 시작했고 그래서 60년대부터 빈티지 바비 인형 컬렉션을 시작했다.,sadness
i now feel compromised and skeptical of the value of every unit of work i put in,나는 이제 내가 투입하는 모든 일의 단위의 가치에 대해 타협하고 회의적이라고 느낀다.,fear
i feel irritated and rejected without anyone doing anything or saying anything,나는 아무도 아무것도 하지 않고 아무 말도 하지 않고 짜증나고 거부감을 느낀다.,anger
